Component_1,Smiles_1,Component_2,Smiles_2,T_EP,nHD_1,nHA_1,nCsp3_1,nArR_1,nAlR_1,nValE_1,MolLogP_1,PEOE_VSA1_1,PEOE_VSA2_1,PEOE_VSA3_1,PEOE_VSA4_1,PEOE_VSA5_1,PEOE_VSA6_1,PEOE_VSA7_1,PEOE_VSA8_1,PEOE_VSA9_1,PEOE_VSA10_1,PEOE_VSA11_1,PEOE_VSA12_1,PEOE_VSA13_1,PEOE_VSA14_1,nHD_2,nHA_2,nCsp3_2,nArR_2,nAlR_2,nValE_2,MolLogP_2,PEOE_VSA1_2,PEOE_VSA2_2,PEOE_VSA3_2,PEOE_VSA4_2,PEOE_VSA5_2,PEOE_VSA6_2,PEOE_VSA7_2,PEOE_VSA8_2,PEOE_VSA9_2,PEOE_VSA10_2,PEOE_VSA11_2,PEOE_VSA12_2,PEOE_VSA13_2,PEOE_VSA14_2,MoRSE_N_0_1,MoRSE_N_1_1,MoRSE_N_2_1,MoRSE_N_3_1,MoRSE_N_4_1,MoRSE_N_5_1,MoRSE_N_6_1,MoRSE_N_7_1,MoRSE_N_8_1,MoRSE_N_9_1,MoRSE_N_10_1,MoRSE_N_11_1,MoRSE_N_12_1,MoRSE_N_13_1,MoRSE_N_14_1,MoRSE_N_15_1,MoRSE_N_16_1,MoRSE_N_17_1,MoRSE_N_18_1,MoRSE_N_19_1,MoRSE_N_20_1,MoRSE_N_21_1,MoRSE_N_22_1,MoRSE_N_23_1,MoRSE_N_24_1,MoRSE_N_25_1,MoRSE_N_26_1,MoRSE_N_27_1,MoRSE_N_28_1,MoRSE_N_29_1,MoRSE_N_30_1,MoRSE_N_31_1,MoRSE_O_0_1,MoRSE_O_1_1,MoRSE_O_2_1,MoRSE_O_3_1,MoRSE_O_4_1,MoRSE_O_5_1,MoRSE_O_6_1,MoRSE_O_7_1,MoRSE_O_8_1,MoRSE_O_9_1,MoRSE_O_10_1,MoRSE_O_11_1,MoRSE_O_12_1,MoRSE_O_13_1,MoRSE_O_14_1,MoRSE_O_15_1,MoRSE_O_16_1,MoRSE_O_17_1,MoRSE_O_18_1,MoRSE_O_19_1,MoRSE_O_20_1,MoRSE_O_21_1,MoRSE_O_22_1,MoRSE_O_23_1,MoRSE_O_24_1,MoRSE_O_25_1,MoRSE_O_26_1,MoRSE_O_27_1,MoRSE_O_28_1,MoRSE_O_29_1,MoRSE_O_30_1,MoRSE_O_31_1,RGyration_1,InertialShapeFactor_1,Eccentricity_1,Asphericity_1,SpherocityIndex_1,MoRSE_N_0_2,MoRSE_N_1_2,MoRSE_N_2_2,MoRSE_N_3_2,MoRSE_N_4_2,MoRSE_N_5_2,MoRSE_N_6_2,MoRSE_N_7_2,MoRSE_N_8_2,MoRSE_N_9_2,MoRSE_N_10_2,MoRSE_N_11_2,MoRSE_N_12_2,MoRSE_N_13_2,MoRSE_N_14_2,MoRSE_N_15_2,MoRSE_N_16_2,MoRSE_N_17_2,MoRSE_N_18_2,MoRSE_N_19_2,MoRSE_N_20_2,MoRSE_N_21_2,MoRSE_N_22_2,MoRSE_N_23_2,MoRSE_N_24_2,MoRSE_N_25_2,MoRSE_N_26_2,MoRSE_N_27_2,MoRSE_N_28_2,MoRSE_N_29_2,MoRSE_N_30_2,MoRSE_N_31_2,MoRSE_O_0_2,MoRSE_O_1_2,MoRSE_O_2_2,MoRSE_O_3_2,MoRSE_O_4_2,MoRSE_O_5_2,MoRSE_O_6_2,MoRSE_O_7_2,MoRSE_O_8_2,MoRSE_O_9_2,MoRSE_O_10_2,MoRSE_O_11_2,MoRSE_O_12_2,MoRSE_O_13_2,MoRSE_O_14_2,MoRSE_O_15_2,MoRSE_O_16_2,MoRSE_O_17_2,MoRSE_O_18_2,MoRSE_O_19_2,MoRSE_O_20_2,MoRSE_O_21_2,MoRSE_O_22_2,MoRSE_O_23_2,MoRSE_O_24_2,MoRSE_O_25_2,MoRSE_O_26_2,MoRSE_O_27_2,MoRSE_O_28_2,MoRSE_O_29_2,MoRSE_O_30_2,MoRSE_O_31_2,RGyration_2,InertialShapeFactor_2,Eccentricity_2,Asphericity_2,SpherocityIndex_2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.7,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,19.115,-1.992,-1.379,-1.942,-2.202,1.314,1.687,-0.408,-0.276,-0.388,-0.676,0.748,0.382,-0.178,0.223,-0.607,-0.789,1.326,0.283,-0.306,0.055,-0.537,-0.229,0.732,0.212,-0.231,-0.362,-0.185,0.349,0.359,-0.074,190.0,19.115,-1.992,-1.379,-1.942,-2.202,1.314,1.687,-0.408,-0.276,-0.388,-0.676,0.748,0.382,-0.178,0.223,-0.607,-0.789,1.326,0.283,-0.306,0.055,-0.537,-0.229,0.732,0.212,-0.231,-0.362,-0.185,0.349,0.359,-0.074,2.8003917650325607,0.0019157150427351478,0.941724742029537,0.31486331659410993,0.21578977332269594,231.0,27.807,-2.54,-1.872,0.154,-3.558,2.235,1.336,0.81,-0.415,-1.354,-0.179,0.251,0.814,0.193,-0.247,-0.762,-0.398,0.662,1.132,-0.733,-0.781,0.235,0.194,0.075,0.68,-0.577,-0.338,0.177,-0.029,0.497,-0.09,231.0,27.807,-2.54,-1.872,0.154,-3.558,2.235,1.336,0.81,-0.415,-1.354,-0.179,0.251,0.814,0.193,-0.247,-0.762,-0.398,0.662,1.132,-0.733,-0.781,0.235,0.194,0.075,0.68,-0.577,-0.338,0.177,-0.029,0.497,-0.09,2.6628276121006906,0.003607564819853485,0.9667471574948086,0.4194415501566901,0.5704134900038639
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.6,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,19.232,-1.97,-1.18,-1.826,-1.65,1.01,1.609,-0.314,-0.406,-0.195,-0.741,0.946,0.261,-0.131,0.253,-0.517,-0.88,0.96,0.576,-0.352,-0.134,-0.253,-0.303,0.711,0.273,-0.122,-0.387,-0.291,0.265,0.494,-0.191,190.0,19.232,-1.97,-1.18,-1.826,-1.65,1.01,1.609,-0.314,-0.406,-0.195,-0.741,0.946,0.261,-0.131,0.253,-0.517,-0.88,0.96,0.576,-0.352,-0.134,-0.253,-0.303,0.711,0.273,-0.122,-0.387,-0.291,0.265,0.494,-0.191,3.247496740559759,0.007064726685263829,0.995851443229672,0.7530342085600995,0.21256891793083205,231.0,30.648,-4.076,-0.683,-0.736,-2.871,1.439,1.638,0.862,-0.96,-0.706,-0.425,0.211,0.716,0.345,-0.34,-0.581,-0.582,0.857,0.971,-0.802,-0.6,0.469,-0.397,0.55,0.403,-0.587,-0.221,0.036,0.214,0.124,0.085,231.0,30.648,-4.076,-0.683,-0.736,-2.871,1.439,1.638,0.862,-0.96,-0.706,-0.425,0.211,0.716,0.345,-0.34,-0.581,-0.582,0.857,0.971,-0.802,-0.6,0.469,-0.397,0.55,0.403,-0.587,-0.221,0.036,0.214,0.124,0.085,3.4034634356424034,0.0034651004578193888,0.9859613918699306,0.581189752493823,0.4703136671289847
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.8,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,18.956,-2.734,-0.829,-1.787,-1.626,0.752,2.136,-0.402,-0.168,-0.368,-0.753,0.631,0.45,0.128,0.223,-0.466,-1.128,1.091,0.342,-0.169,-0.374,-0.31,-0.198,0.503,0.398,-0.28,-0.421,-0.208,0.415,0.217,0.066,190.0,18.956,-2.734,-0.829,-1.787,-1.626,0.752,2.136,-0.402,-0.168,-0.368,-0.753,0.631,0.45,0.128,0.223,-0.466,-1.128,1.091,0.342,-0.169,-0.374,-0.31,-0.198,0.503,0.398,-0.28,-0.421,-0.208,0.415,0.217,0.066,2.953586785223263,0.0026035482811447705,0.9566435193122113,0.3668909416450166,0.526400618852132,231.0,29.399,-3.402,-1.048,-1.398,-3.205,1.475,1.568,0.676,-1.059,-0.602,-0.536,0.459,0.978,0.306,-0.278,-0.646,-0.612,0.724,1.125,-0.667,-0.7,0.31,-0.177,0.275,0.4,-0.363,-0.454,0.039,0.293,0.118,0.205,231.0,29.399,-3.402,-1.048,-1.398,-3.205,1.475,1.568,0.676,-1.059,-0.602,-0.536,0.459,0.978,0.306,-0.278,-0.646,-0.612,0.724,1.125,-0.667,-0.7,0.31,-0.177,0.275,0.4,-0.363,-0.454,0.039,0.293,0.118,0.205,3.08561286234374,0.0037831585889982026,0.9816274671922356,0.5349518155592887,0.5405438415433695
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.9,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,17.705,-1.649,-1.13,-1.685,-1.821,1.069,1.546,-0.027,-0.501,-0.481,-0.539,0.992,0.232,-0.025,0.117,-0.464,-0.916,1.312,0.067,-0.08,-0.262,-0.335,-0.245,0.688,0.292,-0.187,-0.444,-0.319,0.369,0.381,-0.099,190.0,17.705,-1.649,-1.13,-1.685,-1.821,1.069,1.546,-0.027,-0.501,-0.481,-0.539,0.992,0.232,-0.025,0.117,-0.464,-0.916,1.312,0.067,-0.08,-0.262,-0.335,-0.245,0.688,0.292,-0.187,-0.444,-0.319,0.369,0.381,-0.099,2.9995093679213998,0.005207210787682024,0.9895383379123365,0.6308816680262129,0.34988060238372676,231.0,27.815,-3.523,-0.567,-0.267,-3.147,1.564,1.118,1.052,-1.414,-0.409,-0.626,0.494,0.608,0.261,-0.369,-0.407,-0.75,0.702,1.26,-0.856,-0.635,0.252,-0.109,0.32,0.393,-0.44,-0.226,-0.099,0.355,0.146,0.161,231.0,27.815,-3.523,-0.567,-0.267,-3.147,1.564,1.118,1.052,-1.414,-0.409,-0.626,0.494,0.608,0.261,-0.369,-0.407,-0.75,0.702,1.26,-0.856,-0.635,0.252,-0.109,0.32,0.393,-0.44,-0.226,-0.099,0.355,0.146,0.161,2.7640644632545537,0.0028684132489037854,0.9569756118475072,0.3666329319698367,0.5510097523771897
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],425.5,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,18.993,-2.756,-0.965,-2.107,-1.653,0.648,1.981,-0.138,-0.523,-0.259,-0.597,0.681,0.451,-0.062,0.266,-0.47,-0.895,1.097,0.3,-0.32,-0.165,-0.407,-0.054,0.585,0.49,-0.397,-0.345,-0.186,0.334,0.228,0.027,190.0,18.993,-2.756,-0.965,-2.107,-1.653,0.648,1.981,-0.138,-0.523,-0.259,-0.597,0.681,0.451,-0.062,0.266,-0.47,-0.895,1.097,0.3,-0.32,-0.165,-0.407,-0.054,0.585,0.49,-0.397,-0.345,-0.186,0.334,0.228,0.027,2.838943412299717,0.0023858020584212832,0.960463049662863,0.3889413773956386,0.16254207431379517,231.0,32.033,-4.753,-0.471,-1.381,-2.552,1.432,1.59,0.385,-0.112,-1.227,-0.345,0.429,0.918,0.107,-0.233,-0.626,-0.572,0.696,1.201,-0.782,-0.632,0.262,-0.159,0.39,0.286,-0.273,-0.314,-0.053,0.138,0.462,-0.151,231.0,32.033,-4.753,-0.471,-1.381,-2.552,1.432,1.59,0.385,-0.112,-1.227,-0.345,0.429,0.918,0.107,-0.233,-0.626,-0.572,0.696,1.201,-0.782,-0.632,0.262,-0.159,0.39,0.286,-0.273,-0.314,-0.053,0.138,0.462,-0.151,3.4734151616197417,0.004345629825898107,0.9911821845076818,0.6555257862026213,0.457875343420764
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],427.6,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,20.721,-2.204,-1.117,-2.026,-1.966,1.447,1.862,-0.032,-0.749,-0.575,-0.45,0.541,0.405,-0.107,0.252,-0.514,-1.045,1.113,0.423,-0.306,-0.075,-0.448,-0.136,0.618,0.304,-0.248,-0.352,-0.161,0.265,0.455,-0.067,190.0,20.721,-2.204,-1.117,-2.026,-1.966,1.447,1.862,-0.032,-0.749,-0.575,-0.45,0.541,0.405,-0.107,0.252,-0.514,-1.045,1.113,0.423,-0.306,-0.075,-0.448,-0.136,0.618,0.304,-0.248,-0.352,-0.161,0.265,0.455,-0.067,3.720592387336816,0.002199833608597531,0.982417436544365,0.5431717968448204,0.12403712836803829,231.0,30.525,-2.972,-1.659,-0.064,-3.517,1.618,1.331,0.635,-0.716,-1.059,-0.318,0.608,0.419,0.565,-0.578,-0.545,-0.494,0.522,1.141,-0.641,-0.756,0.141,0.102,0.134,0.52,-0.353,-0.332,-0.065,0.161,0.394,-0.053,231.0,30.525,-2.972,-1.659,-0.064,-3.517,1.618,1.331,0.635,-0.716,-1.059,-0.318,0.608,0.419,0.565,-0.578,-0.545,-0.494,0.522,1.141,-0.641,-0.756,0.141,0.102,0.134,0.52,-0.353,-0.332,-0.065,0.161,0.394,-0.053,3.476976221482681,0.005918035767035499,0.9948712220820898,0.7293858046429736,0.49008116095066706
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.5,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,20.125,-1.805,-0.942,-2.058,-1.181,0.939,1.251,-0.14,-0.413,-0.316,-0.823,0.979,0.164,-0.044,0.29,-0.582,-1.036,1.367,0.369,-0.514,-0.04,-0.513,-0.114,0.634,0.305,-0.33,-0.322,-0.388,0.412,0.421,-0.187,190.0,20.125,-1.805,-0.942,-2.058,-1.181,0.939,1.251,-0.14,-0.413,-0.316,-0.823,0.979,0.164,-0.044,0.29,-0.582,-1.036,1.367,0.369,-0.514,-0.04,-0.513,-0.114,0.634,0.305,-0.33,-0.322,-0.388,0.412,0.421,-0.187,3.264142202331628,0.004409492460290316,0.9902702604856233,0.6404958020402474,0.26714396480260166,231.0,29.167,-2.396,-1.593,0.216,-3.408,1.58,1.399,0.72,-0.779,-0.866,-0.702,0.885,0.296,0.808,-0.845,-0.554,-0.405,0.69,1.168,-0.716,-0.689,0.282,-0.148,0.406,0.515,-0.648,-0.159,-0.058,0.198,0.281,0.028,231.0,29.167,-2.396,-1.593,0.216,-3.408,1.58,1.399,0.72,-0.779,-0.866,-0.702,0.885,0.296,0.808,-0.845,-0.554,-0.405,0.69,1.168,-0.716,-0.689,0.282,-0.148,0.406,0.515,-0.648,-0.159,-0.058,0.198,0.281,0.028,2.916842468947366,0.004079995568761519,0.9805494259529741,0.5242338731619646,0.544439919942202
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.0,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,18.656,-2.136,-0.827,-2.367,-1.779,0.896,2.237,-0.078,-0.57,-0.204,-0.615,0.45,0.55,-0.233,0.299,-0.535,-0.873,1.117,0.41,-0.421,-0.045,-0.429,-0.19,0.622,0.45,-0.278,-0.339,-0.15,0.161,0.472,-0.161,190.0,18.656,-2.136,-0.827,-2.367,-1.779,0.896,2.237,-0.078,-0.57,-0.204,-0.615,0.45,0.55,-0.233,0.299,-0.535,-0.873,1.117,0.41,-0.421,-0.045,-0.429,-0.19,0.622,0.45,-0.278,-0.339,-0.15,0.161,0.472,-0.161,2.7203685689221877,0.0037930245024851666,0.9728435203812987,0.4608944255001896,0.25510562836432316,231.0,30.734,-3.815,-0.072,-1.347,-3.411,2.472,0.575,1.279,-0.936,-0.811,-0.174,0.065,0.97,0.088,-0.364,-0.511,-0.65,1.005,0.802,-0.578,-0.564,0.109,0.125,0.064,0.691,-0.53,-0.513,0.26,0.187,0.076,0.366,231.0,30.734,-3.815,-0.072,-1.347,-3.411,2.472,0.575,1.279,-0.936,-0.811,-0.174,0.065,0.97,0.088,-0.364,-0.511,-0.65,1.005,0.802,-0.578,-0.564,0.109,0.125,0.064,0.691,-0.53,-0.513,0.26,0.187,0.076,0.366,3.0879280018103445,0.004601303302736936,0.9873555787628395,0.5998096579492919,0.5275984160933062
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,16.976,-1.934,-0.417,-2.402,-1.453,1.228,1.775,-0.382,-0.399,-0.639,-0.585,0.792,0.312,-0.153,0.188,-0.531,-1.081,1.295,0.266,-0.079,-0.214,-0.445,-0.079,0.592,0.326,-0.186,-0.276,-0.307,0.27,0.473,0.078,190.0,16.976,-1.934,-0.417,-2.402,-1.453,1.228,1.775,-0.382,-0.399,-0.639,-0.585,0.792,0.312,-0.153,0.188,-0.531,-1.081,1.295,0.266,-0.079,-0.214,-0.445,-0.079,0.592,0.326,-0.186,-0.276,-0.307,0.27,0.473,0.078,2.73222642851747,0.002869626916346283,0.958423396164193,0.37367244655472065,0.3807207852661032,231.0,28.428,-2.653,-2.337,0.624,-3.389,1.105,1.781,0.668,-0.87,-0.573,-0.749,0.734,0.294,0.668,-0.513,-0.465,-0.532,0.509,1.281,-0.62,-0.985,0.52,-0.319,0.553,0.283,-0.24,-0.471,0.119,0.028,0.477,-0.071,231.0,28.428,-2.653,-2.337,0.624,-3.389,1.105,1.781,0.668,-0.87,-0.573,-0.749,0.734,0.294,0.668,-0.513,-0.465,-0.532,0.509,1.281,-0.62,-0.985,0.52,-0.319,0.553,0.283,-0.24,-0.471,0.119,0.028,0.477,-0.071,3.0376684569829417,0.006523935448081122,0.992732912614024,0.6848892811922296,0.518726600592471
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0,1,0.5,1,0,52,-2.663499999999998,12.407033161179976,0.0,9.13419929558271,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,20.326479365449288,15.08730753396996,1.3707585561702202,6.303371713966227,0.0,0.0,1,1,1.0,0,0,52,-3.3110999999999975,21.998872209981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.306327173975916,6.496859684315945,0.0,1.4311996572326342,0.0,0.0,190.0,16.257,-1.785,-0.606,-2.236,-1.595,1.336,1.595,-0.18,-0.478,-0.222,-0.752,0.595,0.526,-0.33,0.458,-0.62,-0.91,1.46,0.205,-0.132,-0.241,-0.496,-0.146,0.626,0.376,-0.412,-0.291,-0.185,0.143,0.505,-0.139,190.0,16.257,-1.785,-0.606,-2.236,-1.595,1.336,1.595,-0.18,-0.478,-0.222,-0.752,0.595,0.526,-0.33,0.458,-0.62,-0.91,1.46,0.205,-0.132,-0.241,-0.496,-0.146,0.626,0.376,-0.412,-0.291,-0.185,0.143,0.505,-0.139,2.4793726322266725,0.0016515511552908945,0.8752377337794482,0.17716609751310677,0.4454072594254157,231.0,28.945,-2.099,-1.868,-0.311,-3.73,2.142,0.725,0.984,-0.731,-1.053,-0.546,0.695,0.352,0.425,-0.367,-0.608,-0.316,0.534,0.992,-0.358,-0.866,0.207,0.219,-0.035,0.603,-0.422,-0.432,0.187,-0.001,0.35,0.032,231.0,28.945,-2.099,-1.868,-0.311,-3.73,2.142,0.725,0.984,-0.731,-1.053,-0.546,0.695,0.352,0.425,-0.367,-0.608,-0.316,0.534,0.992,-0.358,-0.866,0.207,0.219,-0.035,0.603,-0.422,-0.432,0.187,-0.001,0.35,0.032,2.8757503783499754,0.00639611948385098,0.9900962128641537,0.6422943235298503,0.5265213293515764
