Component_1,Smiles_1,H_1,T_1,Component_2,Smiles_2,H_2,T_2,T_EP,X_1
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,525.70,0.10
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,525.60,0.10
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,478.80,0.20
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,478.90,0.20
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,425.50,0.30
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,427.60,0.30
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,377.50,0.40
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,377.00,0.40
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,337.10,0.50
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,337.10,0.50
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,303.50,0.60
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,303.40,0.60
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,322.50,0.70
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,321.50,0.70
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,333.40,0.80
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,334.30,0.80
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,344.10,0.90
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],8.59,350.42,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,343.50,0.90
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,517.40,0.10
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,517.50,0.10
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,473.60,0.20
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,473.90,0.20
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,404.00,0.30
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,403.20,0.30
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,352.00,0.40
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,351.70,0.40
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,323.50,0.50
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,323.50,0.50
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,333.70,0.60
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,333.50,0.60
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,340.50,0.70
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,340.90,0.70
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,345.50,0.80
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,346.10,0.80
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,352.60,0.90
