features,SFM_1,SFM_2,SFM_3,SFM_4,SFM_5,SFM_sum,SFM
X#1,True,True,True,True,True,5,True
Solubility#1,False,False,False,False,False,0,False
Solubility#2,False,False,False,False,False,0,False
T#1,True,True,True,True,True,5,True
T#2,False,False,False,False,False,0,False
NumHDonors#1,False,False,False,False,False,0,False
NumHeteroatoms#1,False,False,False,False,False,0,False
NumHeteroatoms#2,False,False,False,False,False,0,False
MaxPartialCharge#1,False,False,False,False,False,0,False
MaxPartialCharge#2,False,False,False,False,False,0,False
MinPartialCharge#1,False,False,False,False,False,0,False
MinPartialCharge#2,False,False,False,False,False,0,False
BalabanJ#1,False,False,False,False,False,0,False
BalabanJ#2,False,False,False,False,False,0,False
fr_NH0#1,False,False,False,False,False,0,False
fr_NH0#2,False,False,False,False,False,0,False
fr_Ndealkylation1#2,False,False,False,False,False,0,False
fr_halogen#1,False,False,False,False,False,0,False
fr_halogen#2,False,False,False,False,False,0,False
fr_quatN#1,False,False,False,False,False,0,False
fr_quatN#2,False,False,False,False,False,0,False
NPR1#1,False,False,False,False,False,0,False
NPR1#2,False,False,False,False,False,0,False
NPR2#1,False,False,False,False,False,0,False
NPR2#2,False,False,False,False,False,0,False
RadiusOfGyration#1,False,False,False,False,False,0,False
RadiusOfGyration#2,False,False,False,False,False,0,False
InertialShapeFactor#1,False,False,False,False,False,0,False
InertialShapeFactor#2,False,False,False,False,False,0,False
SpherocityIndex#1,True,True,True,False,True,4,True
SpherocityIndex#2,False,False,False,False,False,0,False
MolWeight#1,False,False,False,False,False,0,False
MolWeight#2,False,False,False,False,False,0,False
WAPS#1,True,True,True,True,False,4,True
WAPS#2,True,True,True,True,True,5,True
WANS#1,True,False,False,False,False,1,True
WANS#2,False,False,False,False,False,0,False
COSMO_charge#1,False,False,False,False,False,0,False
COSMO_charge#2,False,False,False,False,False,0,False
ln_gamma_InfD#1,False,False,False,False,False,0,False
ln_gamma_InfD#2,False,False,False,False,False,0,False
lny#1,False,False,False,False,False,0,False
lny#2,False,False,False,False,False,0,False
s_profile_1#ratio,False,False,False,False,False,0,False
s_profile_2#ratio,False,True,False,True,True,3,True
s_profile_3#ratio,True,True,True,True,True,5,True
s_profile_4#ratio,False,False,False,False,False,0,False
s_profile_5#ratio,False,True,False,True,True,3,True
s_profile_6#ratio,False,False,False,False,False,0,False
s_profile_7#ratio,False,False,False,False,False,0,False
