
 Property  job 1 : Binary mixture - fine grid ;
 Compounds job 1 : UNXHWFMMPAWVPI-ZXZARUISSA-N (1) ; SGMZJAMFUVOLNK-UHFFFAOYSA-M (2) ;
 Settings  job 1 : T= 50.00 K ;
 Units     job 1 : Energies in kcal/mol ; Pressure in mbar ; Area in A^2 ; Temperature in K ; Molecular weights in a.m.u. ; Concentrations x : mole fraction ;
 General   job 1 : Molecular weights 122.1203 (1) 139.6245 (2) ; Surface areas 150.8000 (1) 177.0496 (2) ;
 
          x1          x2             H^E             G^E            ptot    mu1+RTln(x1)    mu2+RTln(x2)      ln(gamma1)      ln(gamma2)          y1          y2
 0.000000001 0.999999999      0.00000126      0.00000024      5.457E-149    -25.16153945     -6.31093476    -28.52850679      0.00000244 0.000000000 1.000000000
 0.000000002 0.999999998      0.00000127      0.00000024      5.457E-149    -25.09266824     -6.31093476    -28.52850692      0.00000247 0.000000000 1.000000000
 0.000000003 0.999999997      0.00000126      0.00000024      5.457E-149    -25.05238116     -6.31093476    -28.52850699      0.00000246 0.000000000 1.000000000
 0.000000004 0.999999996      0.00000126      0.00000023      5.457E-149    -25.02379701     -6.31093476    -28.52850691      0.00000247 0.000000000 1.000000000
 0.000000005 0.999999995      0.00000125      0.00000023      5.457E-149    -25.00162543     -6.31093476    -28.52850692      0.00000247 0.000000000 1.000000000
 0.000000006 0.999999994      0.00000125      0.00000023      5.457E-149    -24.98350993     -6.31093476    -28.52850693      0.00000248 0.000000000 1.000000000
 0.000000007 0.999999993      0.00000125      0.00000023      5.457E-149    -24.96819349     -6.31093476    -28.52850693      0.00000248 0.000000000 1.000000000
 0.000000008 0.999999992      0.00000125      0.00000022      5.457E-149    -24.95492582     -6.31093476    -28.52850735      0.00000248 0.000000000 1.000000000
 0.000000009 0.999999991      0.00000124      0.00000022      5.457E-149    -24.94322289     -6.31093476    -28.52850741      0.00000248 0.000000000 1.000000000
 0.000000010 0.999999990      0.00000124      0.00000022      5.457E-149    -24.93275425     -6.31093476    -28.52850746      0.00000249 0.000000000 1.000000000
 0.000000020 0.999999980      0.00000120      0.00000019      5.457E-149    -24.86388307     -6.31093476    -28.52850796      0.00000249 0.000000000 1.000000000
 0.000000030 0.999999970      0.00000111      0.00000015      5.457E-149    -24.82359600     -6.31093477    -28.52850806      0.00000239 0.000000000 1.000000000
 0.000000040 0.999999960      0.00000107      0.00000012      5.457E-149    -24.79501190     -6.31093477    -28.52850854      0.00000240 0.000000000 1.000000000
 0.000000050 0.999999950      0.00000103      0.00000010      5.457E-149    -24.77284037     -6.31093477    -28.52850902      0.00000240 0.000000000 1.000000000
 0.000000060 0.999999940      0.00000099      0.00000007      5.457E-149    -24.75472491     -6.31093477    -28.52850949      0.00000240 0.000000000 1.000000000
 0.000000070 0.999999930      0.00000095      0.00000004      5.457E-149    -24.73940852     -6.31093477    -28.52850996      0.00000240 0.000000000 1.000000000
 0.000000080 0.999999920      0.00000091      0.00000001      5.457E-149    -24.72614086     -6.31093477    -28.52851043      0.00000240 0.000000000 1.000000000
 0.000000090 0.999999910      0.00000087     -0.00000002      5.457E-149    -24.71443796     -6.31093477    -28.52851090      0.00000241 0.000000000 1.000000000
 0.000000100 0.999999900      0.00000083     -0.00000004      5.457E-149    -24.70396937     -6.31093477    -28.52851138      0.00000241 0.000000000 1.000000000
 0.000000200 0.999999800      0.00000042     -0.00000033      5.457E-149    -24.63509861     -6.31093478    -28.52851605      0.00000242 0.000000000 1.000000000
 0.000000300 0.999999700      0.00000000     -0.00000061      5.457E-149    -24.59481199     -6.31093479    -28.52852072      0.00000242 0.000000000 1.000000000
