
 Property  job 1 : Binary mixture - fine grid ;
 Compounds job 1 : FBPFZTCFMRRESA-BXKVDMCESA-N (1) ; SGMZJAMFUVOLNK-UHFFFAOYSA-M (2) ;
 Settings  job 1 : T= 50.00 K ;
 Units     job 1 : Energies in kcal/mol ; Pressure in mbar ; Area in A^2 ; Temperature in K ; Molecular weights in a.m.u. ; Concentrations x : mole fraction ;
 General   job 1 : Molecular weights 182.1725 (1) 139.6245 (2) ; Surface areas 196.5203 (1) 177.0496 (2) ;
 
          x1          x2             H^E             G^E            ptot    mu1+RTln(x1)    mu2+RTln(x2)      ln(gamma1)      ln(gamma2)          y1          y2
 0.000000001 0.999999999      0.00000123      0.00000023      5.457E-149    -30.67261639     -6.31093476    -41.62319345      0.00000240 0.000000000 1.000000000
 0.000000002 0.999999998      0.00000124      0.00000023      5.457E-149    -30.60374520     -6.31093476    -41.62319378      0.00000242 0.000000000 1.000000000
 0.000000003 0.999999997      0.00000126      0.00000023      5.457E-149    -30.56345813     -6.31093476    -41.62319395      0.00000248 0.000000000 1.000000000
 0.000000004 0.999999996      0.00000126      0.00000023      5.457E-149    -30.53487403     -6.31093476    -41.62319435      0.00000248 0.000000000 1.000000000
 0.000000005 0.999999995      0.00000125      0.00000023      5.457E-149    -30.51270246     -6.31093475    -41.62319451      0.00000248 0.000000000 1.000000000
 0.000000006 0.999999994      0.00000125      0.00000022      5.457E-149    -30.49458697     -6.31093475    -41.62319467      0.00000249 0.000000000 1.000000000
 0.000000007 0.999999993      0.00000124      0.00000022      5.457E-149    -30.47927055     -6.31093475    -41.62319483      0.00000249 0.000000000 1.000000000
 0.000000008 0.999999992      0.00000124      0.00000021      5.457E-149    -30.46600286     -6.31093475    -41.62319499      0.00000249 0.000000000 1.000000000
 0.000000009 0.999999991      0.00000123      0.00000021      5.457E-149    -30.45429993     -6.31093475    -41.62319515      0.00000249 0.000000000 1.000000000
 0.000000010 0.999999990      0.00000123      0.00000021      5.457E-149    -30.44383131     -6.31093475    -41.62319531      0.00000249 0.000000000 1.000000000
 0.000000020 0.999999980      0.00000112      0.00000016      5.457E-149    -30.37496021     -6.31093477    -41.62319655      0.00000239 0.000000000 1.000000000
 0.000000030 0.999999970      0.00000107      0.00000011      5.457E-149    -30.33467327     -6.31093477    -41.62319811      0.00000240 0.000000000 1.000000000
 0.000000040 0.999999960      0.00000101      0.00000007      5.457E-149    -30.30608928     -6.31093477    -41.62319966      0.00000240 0.000000000 1.000000000
 0.000000050 0.999999950      0.00000096      0.00000003      5.457E-149    -30.28391786     -6.31093477    -41.62320120      0.00000240 0.000000000 1.000000000
