
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/QTBSBXVTEAMEQO-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.000
  -1.200     0.000
  -1.100     0.000
  -1.000     0.000
  -0.900     0.000
  -0.800     0.000
  -0.700     0.000
  -0.600     0.328
  -0.500     1.466
  -0.400     2.640
  -0.300     3.211
  -0.200     3.573
  -0.100     3.463
   0.000     2.960
   0.100     2.868
   0.200     4.218
   0.300     5.546
   0.400     4.293
   0.500     2.245
   0.600     1.776
   0.700     1.844
   0.800     1.276
   0.900     0.736
   1.000     0.901
   1.100     1.345
   1.200     1.142
   1.300     0.721
   1.400     1.103
   1.500     1.656
   1.600     1.684
   1.700     2.219
   1.800     3.915
   1.900     5.746
   2.000     6.476
   2.100     6.053
   2.200     5.072
   2.300     3.473
   2.400     2.222
   2.500     2.119
   2.600     1.644
   2.700     0.530
   2.800     0.016
   2.900     0.000
   3.000     0.000
