
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02748     0.00019     0.02540     0.00181    -0.34347    -0.17956 ;

   sigma     mu(1)
  -0.030    -0.165
  -0.029    -0.162
  -0.028    -0.157
  -0.027    -0.152
  -0.026    -0.145
  -0.025    -0.137
  -0.024    -0.127
  -0.023    -0.117
  -0.022    -0.106
  -0.021    -0.094
  -0.020    -0.082
  -0.019    -0.069
  -0.018    -0.056
  -0.017    -0.044
  -0.016    -0.033
  -0.015    -0.023
  -0.014    -0.016
  -0.013    -0.010
  -0.012    -0.007
  -0.011    -0.006
  -0.010    -0.007
  -0.009    -0.009
  -0.008    -0.012
  -0.007    -0.017
  -0.006    -0.022
  -0.005    -0.026
  -0.004    -0.029
  -0.003    -0.031
  -0.002    -0.032
  -0.001    -0.032
   0.000    -0.031
   0.001    -0.030
   0.002    -0.027
   0.003    -0.024
   0.004    -0.021
   0.005    -0.017
   0.006    -0.012
   0.007    -0.007
   0.008    -0.002
   0.009     0.003
   0.010     0.000
   0.011    -0.005
   0.012    -0.015
   0.013    -0.029
   0.014    -0.046
   0.015    -0.066
   0.016    -0.087
   0.017    -0.111
   0.018    -0.135
   0.019    -0.159
   0.020    -0.182
   0.021    -0.206
   0.022    -0.229
   0.023    -0.251
   0.024    -0.272
   0.025    -0.292
   0.026    -0.310
   0.027    -0.328
   0.028    -0.345
   0.029    -0.360
   0.030    -0.375
