
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02551     0.02730     0.02471    -0.01020    -0.59319    -0.27559 ;

   sigma     mu(1)
  -0.030    -0.180
  -0.029    -0.177
  -0.028    -0.173
  -0.027    -0.168
  -0.026    -0.162
  -0.025    -0.155
  -0.024    -0.148
  -0.023    -0.139
  -0.022    -0.130
  -0.021    -0.121
  -0.020    -0.110
  -0.019    -0.100
  -0.018    -0.089
  -0.017    -0.078
  -0.016    -0.068
  -0.015    -0.057
  -0.014    -0.048
  -0.013    -0.040
  -0.012    -0.032
  -0.011    -0.026
  -0.010    -0.022
  -0.009    -0.019
  -0.008    -0.017
  -0.007    -0.019
  -0.006    -0.022
  -0.005    -0.025
  -0.004    -0.027
  -0.003    -0.028
  -0.002    -0.029
  -0.001    -0.029
   0.000    -0.028
   0.001    -0.027
   0.002    -0.026
   0.003    -0.023
   0.004    -0.020
   0.005    -0.017
   0.006    -0.012
   0.007    -0.007
   0.008    -0.002
   0.009     0.005
   0.010     0.005
   0.011     0.000
   0.012    -0.012
   0.013    -0.035
   0.014    -0.071
   0.015    -0.118
   0.016    -0.173
   0.017    -0.233
   0.018    -0.296
   0.019    -0.360
   0.020    -0.425
   0.021    -0.490
   0.022    -0.555
   0.023    -0.619
   0.024    -0.682
   0.025    -0.745
   0.026    -0.806
   0.027    -0.866
   0.028    -0.926
   0.029    -0.984
   0.030    -1.041
