
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02511     0.00255     0.02463     0.00058    -0.72656    -0.16256 ;

   sigma     mu(1)
  -0.030    -0.146
  -0.029    -0.141
  -0.028    -0.136
  -0.027    -0.129
  -0.026    -0.121
  -0.025    -0.112
  -0.024    -0.103
  -0.023    -0.093
  -0.022    -0.082
  -0.021    -0.071
  -0.020    -0.059
  -0.019    -0.048
  -0.018    -0.038
  -0.017    -0.029
  -0.016    -0.021
  -0.015    -0.014
  -0.014    -0.010
  -0.013    -0.007
  -0.012    -0.006
  -0.011    -0.007
  -0.010    -0.008
  -0.009    -0.011
  -0.008    -0.014
  -0.007    -0.019
  -0.006    -0.023
  -0.005    -0.026
  -0.004    -0.029
  -0.003    -0.030
  -0.002    -0.031
  -0.001    -0.031
   0.000    -0.030
   0.001    -0.028
   0.002    -0.025
   0.003    -0.022
   0.004    -0.018
   0.005    -0.013
   0.006    -0.008
   0.007    -0.003
   0.008     0.003
   0.009     0.010
   0.010     0.003
   0.011    -0.012
   0.012    -0.038
   0.013    -0.076
   0.014    -0.123
   0.015    -0.177
   0.016    -0.236
   0.017    -0.298
   0.018    -0.362
   0.019    -0.426
   0.020    -0.491
   0.021    -0.556
   0.022    -0.621
   0.023    -0.685
   0.024    -0.749
   0.025    -0.812
   0.026    -0.874
   0.027    -0.935
   0.028    -0.995
   0.029    -1.054
   0.030    -1.112
