
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.01839     0.02442     0.01972    -0.01518    -0.23849    -0.57783 ;

   sigma     mu(1)
  -0.030    -0.661
  -0.029    -0.630
  -0.028    -0.598
  -0.027    -0.565
  -0.026    -0.531
  -0.025    -0.497
  -0.024    -0.461
  -0.023    -0.425
  -0.022    -0.389
  -0.021    -0.351
  -0.020    -0.314
  -0.019    -0.276
  -0.018    -0.239
  -0.017    -0.201
  -0.016    -0.165
  -0.015    -0.131
  -0.014    -0.099
  -0.013    -0.070
  -0.012    -0.046
  -0.011    -0.027
  -0.010    -0.013
  -0.009    -0.004
  -0.008     0.000
  -0.007    -0.002
  -0.006    -0.007
  -0.005    -0.011
  -0.004    -0.014
  -0.003    -0.017
  -0.002    -0.020
  -0.001    -0.022
   0.000    -0.023
   0.001    -0.024
   0.002    -0.024
   0.003    -0.024
   0.004    -0.023
   0.005    -0.021
   0.006    -0.018
   0.007    -0.014
   0.008    -0.009
   0.009    -0.004
   0.010    -0.002
   0.011    -0.001
   0.012    -0.003
   0.013    -0.008
   0.014    -0.018
   0.015    -0.034
   0.016    -0.055
   0.017    -0.083
   0.018    -0.116
   0.019    -0.153
   0.020    -0.192
   0.021    -0.234
   0.022    -0.276
   0.023    -0.319
   0.024    -0.363
   0.025    -0.406
   0.026    -0.448
   0.027    -0.490
   0.028    -0.532
   0.029    -0.572
   0.030    -0.612
