
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.11121    -0.18036     0.08282     0.01219    -0.66972    -0.39283 ;

   sigma     mu(1)
  -0.030     0.017
  -0.029     0.030
  -0.028     0.045
  -0.027     0.062
  -0.026     0.079
  -0.025     0.097
  -0.024     0.117
  -0.023     0.137
  -0.022     0.157
  -0.021     0.178
  -0.020     0.197
  -0.019     0.215
  -0.018     0.228
  -0.017     0.236
  -0.016     0.236
  -0.015     0.227
  -0.014     0.212
  -0.013     0.190
  -0.012     0.166
  -0.011     0.139
  -0.010     0.112
  -0.009     0.085
  -0.008     0.058
  -0.007     0.032
  -0.006     0.008
  -0.005    -0.016
  -0.004    -0.038
  -0.003    -0.059
  -0.002    -0.079
  -0.001    -0.097
   0.000    -0.114
   0.001    -0.130
   0.002    -0.144
   0.003    -0.157
   0.004    -0.169
   0.005    -0.179
   0.006    -0.188
   0.007    -0.195
   0.008    -0.201
   0.009    -0.206
   0.010    -0.219
   0.011    -0.233
   0.012    -0.250
   0.013    -0.270
   0.014    -0.296
   0.015    -0.327
   0.016    -0.364
   0.017    -0.406
   0.018    -0.451
   0.019    -0.499
   0.020    -0.547
   0.021    -0.596
   0.022    -0.645
   0.023    -0.694
   0.024    -0.741
   0.025    -0.788
   0.026    -0.833
   0.027    -0.877
   0.028    -0.920
   0.029    -0.962
   0.030    -1.003
