
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03765     0.00730     0.04998    -0.00343    -0.80407    -0.20627 ;

   sigma     mu(1)
  -0.030     0.021
  -0.029     0.018
  -0.028     0.016
  -0.027     0.015
  -0.026     0.015
  -0.025     0.015
  -0.024     0.016
  -0.023     0.018
  -0.022     0.020
  -0.021     0.022
  -0.020     0.024
  -0.019     0.025
  -0.018     0.026
  -0.017     0.026
  -0.016     0.025
  -0.015     0.023
  -0.014     0.020
  -0.013     0.016
  -0.012     0.011
  -0.011     0.006
  -0.010     0.000
  -0.009    -0.006
  -0.008    -0.012
  -0.007    -0.018
  -0.006    -0.024
  -0.005    -0.029
  -0.004    -0.033
  -0.003    -0.036
  -0.002    -0.038
  -0.001    -0.040
   0.000    -0.040
   0.001    -0.039
   0.002    -0.037
   0.003    -0.034
   0.004    -0.031
   0.005    -0.026
   0.006    -0.020
   0.007    -0.014
   0.008    -0.007
   0.009     0.001
   0.010     0.003
   0.011    -0.001
   0.012    -0.016
   0.013    -0.045
   0.014    -0.089
   0.015    -0.145
   0.016    -0.208
   0.017    -0.276
   0.018    -0.345
   0.019    -0.415
   0.020    -0.485
   0.021    -0.555
   0.022    -0.624
   0.023    -0.693
   0.024    -0.760
   0.025    -0.827
   0.026    -0.892
   0.027    -0.957
   0.028    -1.020
   0.029    -1.082
   0.030    -1.143
