
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03128     0.03651     0.04087    -0.01956    -0.44178    -0.49103 ;

   sigma     mu(1)
  -0.030    -0.284
  -0.029    -0.276
  -0.028    -0.267
  -0.027    -0.257
  -0.026    -0.245
  -0.025    -0.233
  -0.024    -0.220
  -0.023    -0.206
  -0.022    -0.191
  -0.021    -0.175
  -0.020    -0.158
  -0.019    -0.141
  -0.018    -0.124
  -0.017    -0.106
  -0.016    -0.089
  -0.015    -0.073
  -0.014    -0.057
  -0.013    -0.043
  -0.012    -0.032
  -0.011    -0.022
  -0.010    -0.016
  -0.009    -0.011
  -0.008    -0.010
  -0.007    -0.013
  -0.006    -0.018
  -0.005    -0.022
  -0.004    -0.026
  -0.003    -0.029
  -0.002    -0.031
  -0.001    -0.033
   0.000    -0.034
   0.001    -0.034
   0.002    -0.034
   0.003    -0.032
   0.004    -0.029
   0.005    -0.026
   0.006    -0.021
   0.007    -0.015
   0.008    -0.009
   0.009     0.000
   0.010     0.005
   0.011     0.009
   0.012     0.009
   0.013     0.002
   0.014    -0.014
   0.015    -0.042
   0.016    -0.081
   0.017    -0.128
   0.018    -0.182
   0.019    -0.238
   0.020    -0.297
   0.021    -0.356
   0.022    -0.415
   0.023    -0.474
   0.024    -0.532
   0.025    -0.589
   0.026    -0.646
   0.027    -0.702
   0.028    -0.756
   0.029    -0.810
   0.030    -0.862
