
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03930     0.03530     0.06696    -0.01921    -0.51675    -0.57185 ;

   sigma     mu(1)
  -0.030    -0.257
  -0.029    -0.248
  -0.028    -0.237
  -0.027    -0.226
  -0.026    -0.214
  -0.025    -0.200
  -0.024    -0.186
  -0.023    -0.171
  -0.022    -0.155
  -0.021    -0.138
  -0.020    -0.120
  -0.019    -0.103
  -0.018    -0.085
  -0.017    -0.068
  -0.016    -0.051
  -0.015    -0.037
  -0.014    -0.024
  -0.013    -0.014
  -0.012    -0.007
  -0.011    -0.004
  -0.010    -0.003
  -0.009    -0.005
  -0.008    -0.008
  -0.007    -0.015
  -0.006    -0.021
  -0.005    -0.027
  -0.004    -0.032
  -0.003    -0.036
  -0.002    -0.039
  -0.001    -0.041
   0.000    -0.041
   0.001    -0.041
   0.002    -0.039
   0.003    -0.036
   0.004    -0.032
   0.005    -0.027
   0.006    -0.021
   0.007    -0.013
   0.008    -0.004
   0.009     0.006
   0.010     0.015
   0.011     0.023
   0.012     0.028
   0.013     0.027
   0.014     0.016
   0.015    -0.007
   0.016    -0.043
   0.017    -0.088
   0.018    -0.140
   0.019    -0.196
   0.020    -0.254
   0.021    -0.312
   0.022    -0.370
   0.023    -0.429
   0.024    -0.486
   0.025    -0.543
   0.026    -0.599
   0.027    -0.653
   0.028    -0.707
   0.029    -0.759
   0.030    -0.811
