
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02883     0.00123     0.02840     0.00176    -0.68414    -0.13884 ;

   sigma     mu(1)
  -0.030    -0.113
  -0.029    -0.108
  -0.028    -0.103
  -0.027    -0.097
  -0.026    -0.089
  -0.025    -0.081
  -0.024    -0.072
  -0.023    -0.063
  -0.022    -0.053
  -0.021    -0.043
  -0.020    -0.033
  -0.019    -0.025
  -0.018    -0.017
  -0.017    -0.010
  -0.016    -0.006
  -0.015    -0.003
  -0.014    -0.002
  -0.013    -0.002
  -0.012    -0.004
  -0.011    -0.007
  -0.010    -0.010
  -0.009    -0.014
  -0.008    -0.017
  -0.007    -0.022
  -0.006    -0.026
  -0.005    -0.029
  -0.004    -0.031
  -0.003    -0.032
  -0.002    -0.033
  -0.001    -0.033
   0.000    -0.032
   0.001    -0.030
   0.002    -0.028
   0.003    -0.025
   0.004    -0.022
   0.005    -0.018
   0.006    -0.014
   0.007    -0.009
   0.008    -0.004
   0.009     0.002
   0.010    -0.002
   0.011    -0.013
   0.012    -0.033
   0.013    -0.064
   0.014    -0.104
   0.015    -0.152
   0.016    -0.206
   0.017    -0.262
   0.018    -0.321
   0.019    -0.379
   0.020    -0.439
   0.021    -0.497
   0.022    -0.555
   0.023    -0.613
   0.024    -0.669
   0.025    -0.725
   0.026    -0.779
   0.027    -0.833
   0.028    -0.885
   0.029    -0.936
   0.030    -0.985
