
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04309    -0.02318     0.06188     0.02152    -0.22399    -0.13306 ;

   sigma     mu(1)
  -0.030    -0.250
  -0.029    -0.229
  -0.028    -0.207
  -0.027    -0.184
  -0.026    -0.160
  -0.025    -0.136
  -0.024    -0.111
  -0.023    -0.085
  -0.022    -0.060
  -0.021    -0.036
  -0.020    -0.013
  -0.019     0.007
  -0.018     0.022
  -0.017     0.033
  -0.016     0.039
  -0.015     0.040
  -0.014     0.037
  -0.013     0.031
  -0.012     0.024
  -0.011     0.015
  -0.010     0.007
  -0.009    -0.002
  -0.008    -0.010
  -0.007    -0.018
  -0.006    -0.025
  -0.005    -0.031
  -0.004    -0.035
  -0.003    -0.039
  -0.002    -0.042
  -0.001    -0.044
   0.000    -0.044
   0.001    -0.044
   0.002    -0.042
   0.003    -0.040
   0.004    -0.036
   0.005    -0.032
   0.006    -0.026
   0.007    -0.019
   0.008    -0.011
   0.009    -0.002
   0.010     0.008
   0.011     0.019
   0.012     0.031
   0.013     0.044
   0.014     0.059
   0.015     0.074
   0.016     0.091
   0.017     0.109
   0.018     0.128
   0.019     0.148
   0.020     0.170
   0.021     0.192
   0.022     0.216
   0.023     0.241
   0.024     0.267
   0.025     0.295
   0.026     0.323
   0.027     0.353
   0.028     0.384
   0.029     0.417
   0.030     0.450
