
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03879     0.00560     0.04682     0.00370    -0.11393    -0.62847 ;

   sigma     mu(1)
  -0.030    -0.936
  -0.029    -0.883
  -0.028    -0.830
  -0.027    -0.775
  -0.026    -0.720
  -0.025    -0.664
  -0.024    -0.607
  -0.023    -0.550
  -0.022    -0.493
  -0.021    -0.436
  -0.020    -0.380
  -0.019    -0.325
  -0.018    -0.271
  -0.017    -0.220
  -0.016    -0.172
  -0.015    -0.128
  -0.014    -0.090
  -0.013    -0.058
  -0.012    -0.035
  -0.011    -0.020
  -0.010    -0.012
  -0.009    -0.009
  -0.008    -0.011
  -0.007    -0.017
  -0.006    -0.023
  -0.005    -0.029
  -0.004    -0.033
  -0.003    -0.037
  -0.002    -0.040
  -0.001    -0.042
   0.000    -0.043
   0.001    -0.043
   0.002    -0.042
   0.003    -0.039
   0.004    -0.036
   0.005    -0.031
   0.006    -0.026
   0.007    -0.019
   0.008    -0.011
   0.009    -0.002
   0.010     0.008
   0.011     0.019
   0.012     0.030
   0.013     0.042
   0.014     0.054
   0.015     0.066
   0.016     0.078
   0.017     0.090
   0.018     0.100
   0.019     0.110
   0.020     0.118
   0.021     0.125
   0.022     0.130
   0.023     0.134
   0.024     0.137
   0.025     0.139
   0.026     0.141
   0.027     0.142
   0.028     0.144
   0.029     0.147
   0.030     0.150
