
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02385     0.02968     0.01794    -0.00862    -0.64424    -0.19133 ;

   sigma     mu(1)
  -0.030    -0.110
  -0.029    -0.112
  -0.028    -0.114
  -0.027    -0.114
  -0.026    -0.113
  -0.025    -0.111
  -0.024    -0.109
  -0.023    -0.105
  -0.022    -0.100
  -0.021    -0.095
  -0.020    -0.089
  -0.019    -0.082
  -0.018    -0.076
  -0.017    -0.069
  -0.016    -0.062
  -0.015    -0.055
  -0.014    -0.048
  -0.013    -0.043
  -0.012    -0.037
  -0.011    -0.033
  -0.010    -0.030
  -0.009    -0.027
  -0.008    -0.025
  -0.007    -0.026
  -0.006    -0.028
  -0.005    -0.029
  -0.004    -0.030
  -0.003    -0.030
  -0.002    -0.029
  -0.001    -0.028
   0.000    -0.026
   0.001    -0.024
   0.002    -0.022
   0.003    -0.019
   0.004    -0.015
   0.005    -0.011
   0.006    -0.007
   0.007    -0.002
   0.008     0.004
   0.009     0.010
   0.010     0.008
   0.011     0.000
   0.012    -0.018
   0.013    -0.047
   0.014    -0.090
   0.015    -0.144
   0.016    -0.205
   0.017    -0.270
   0.018    -0.338
   0.019    -0.407
   0.020    -0.476
   0.021    -0.545
   0.022    -0.614
   0.023    -0.682
   0.024    -0.749
   0.025    -0.815
   0.026    -0.880
   0.027    -0.944
   0.028    -1.007
   0.029    -1.069
   0.030    -1.129
