
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03695     0.03769     0.05752    -0.02501    -0.41608    -0.58717 ;

   sigma     mu(1)
  -0.030    -0.253
  -0.029    -0.245
  -0.028    -0.235
  -0.027    -0.224
  -0.026    -0.212
  -0.025    -0.199
  -0.024    -0.185
  -0.023    -0.171
  -0.022    -0.155
  -0.021    -0.139
  -0.020    -0.123
  -0.019    -0.106
  -0.018    -0.089
  -0.017    -0.073
  -0.016    -0.058
  -0.015    -0.044
  -0.014    -0.031
  -0.013    -0.022
  -0.012    -0.015
  -0.011    -0.010
  -0.010    -0.008
  -0.009    -0.008
  -0.008    -0.010
  -0.007    -0.016
  -0.006    -0.021
  -0.005    -0.026
  -0.004    -0.030
  -0.003    -0.034
  -0.002    -0.036
  -0.001    -0.038
   0.000    -0.039
   0.001    -0.039
   0.002    -0.038
   0.003    -0.036
   0.004    -0.034
   0.005    -0.030
   0.006    -0.025
   0.007    -0.019
   0.008    -0.013
   0.009    -0.005
   0.010     0.002
   0.011     0.009
   0.012     0.014
   0.013     0.016
   0.014     0.010
   0.015    -0.007
   0.016    -0.037
   0.017    -0.079
   0.018    -0.131
   0.019    -0.188
   0.020    -0.248
   0.021    -0.310
   0.022    -0.372
   0.023    -0.434
   0.024    -0.496
   0.025    -0.557
   0.026    -0.617
   0.027    -0.676
   0.028    -0.734
   0.029    -0.792
   0.030    -0.848
