Component#1,Component#2,Smiles#1,Smiles#2,X#1,T_EP,PD,Type,groups,T#1,T#2,NumAliphaticCarbocycles#1,NumAliphaticCarbocycles#2,NumAliphaticHeterocycles#1,NumAliphaticHeterocycles#2,NumAromaticCarbocycles#1,NumAromaticCarbocycles#2,NumAromaticHeterocycles#1,NumAromaticHeterocycles#2,NumHAcceptors#1,NumHAcceptors#2,NumHDonors#1,NumHDonors#2,NumHeteroatoms#1,NumHeteroatoms#2,MaxPartialCharge#1,MaxPartialCharge#2,MinPartialCharge#1,MinPartialCharge#2,BalabanJ#1,BalabanJ#2,fr_NH0#1,fr_NH0#2,fr_NH1#1,fr_NH1#2,fr_NH2#1,fr_NH2#2,fr_Ndealkylation1#1,fr_Ndealkylation1#2,fr_amide#1,fr_amide#2,fr_halogen#1,fr_halogen#2,fr_phenol#1,fr_phenol#2,fr_quatN#1,fr_quatN#2,NPR1#1,NPR1#2,NPR2#1,NPR2#2,RadiusOfGyration#1,RadiusOfGyration#2,InertialShapeFactor#1,InertialShapeFactor#2,SpherocityIndex#1,SpherocityIndex#2,MolWeight#1,MolWeight#2,WAPS#1,WAPS#2,WANS#1,WANS#2,COSMO_charge#1,COSMO_charge#2,ln_gamma_InfD#1,ln_gamma_InfD#2,s_profile_1#ratio,s_profile_2#ratio,s_profile_3#ratio,s_profile_4#ratio,s_profile_5#ratio,s_profile_6#ratio,s_profile_7#ratio
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,525.6,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.21459333333333339,7.362493333333334,2.877595,0.9197233333333333,3.44447,0.20855666666666633
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,478.8,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.22582000000000008,7.210220000000001,3.267498333333333,0.8496799999999999,3.28784,0.26564666666666625
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,425.5,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.23704666666666674,7.057946666666667,3.657401666666666,0.7796366666666665,3.13121,0.32273666666666617
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,377.0,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.24827333333333343,6.905673333333334,4.047305,0.7095933333333333,2.9745799999999996,0.37982666666666615
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,337.1,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.25950000000000006,6.753400000000001,4.437208333333333,0.63955,2.8179499999999997,0.43691666666666606
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,303.4,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.2707266666666668,6.6011266666666675,4.827111666666666,0.5695066666666666,2.6613199999999995,0.494006666666666
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,321.5,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.28195333333333344,6.448853333333334,5.217015,0.4994633333333333,2.504689999999999,0.5510966666666659
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,333.4,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.29318000000000016,6.2965800000000005,5.606918333333334,0.4294199999999999,2.348059999999999,0.6081866666666659
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,343.5,Yes,IL mixture,0.0,350.42,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.2017205339207315,0.6212629141768793,146.6187,139.6245,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,0.0107,0.0093,0.25914,0.21643,0.0,0.3044066666666668,6.144306666666667,5.9968216666666665,0.35937666666666657,2.1914299999999987,0.6652766666666659
[C2OHmim]Cl,ChCl,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,517.4,Yes,IL mixture,1.0,358.88,578.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,3.0,0.2431134116633029,0.2103437495606454,-1.0,-1.0,3.999997728001341e-06,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5431733990673941,0.3504363029114663,0.6729929514318681,0.8529109401037032,2.280462129957224,2.301226162593521,0.0016233968445146,0.003626290929532,0.3504254114772551,0.6212629141768793,162.6182,139.6245,0.0118664888498324,0.012944750992983,-0.0064791787746496,-0.006715318077112,0.0063,0.0093,-0.03759,-0.01045,0.0,0.25702666666666674,7.360893333333334,2.6893525,0.99679,3.5587133333333334,0.16847666666666639
