
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04100     0.02875     0.07855    -0.01901    -0.26920    -0.84617 ;

   sigma     mu(1)
  -0.030    -0.656
  -0.029    -0.624
  -0.028    -0.590
  -0.027    -0.556
  -0.026    -0.520
  -0.025    -0.483
  -0.024    -0.444
  -0.023    -0.405
  -0.022    -0.364
  -0.021    -0.323
  -0.020    -0.280
  -0.019    -0.237
  -0.018    -0.194
  -0.017    -0.152
  -0.016    -0.111
  -0.015    -0.073
  -0.014    -0.041
  -0.013    -0.017
  -0.012     0.000
  -0.011     0.006
  -0.010     0.007
  -0.009     0.003
  -0.008    -0.004
  -0.007    -0.012
  -0.006    -0.020
  -0.005    -0.028
  -0.004    -0.033
  -0.003    -0.038
  -0.002    -0.041
  -0.001    -0.043
   0.000    -0.044
   0.001    -0.043
   0.002    -0.041
   0.003    -0.038
   0.004    -0.033
   0.005    -0.027
   0.006    -0.020
   0.007    -0.011
   0.008     0.000
   0.009     0.011
   0.010     0.023
   0.011     0.035
   0.012     0.047
   0.013     0.058
   0.014     0.067
   0.015     0.072
   0.016     0.070
   0.017     0.061
   0.018     0.043
   0.019     0.019
   0.020    -0.010
   0.021    -0.042
   0.022    -0.076
   0.023    -0.110
   0.024    -0.145
   0.025    -0.179
   0.026    -0.212
   0.027    -0.244
   0.028    -0.276
   0.029    -0.306
   0.030    -0.335
