
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02859    -0.00171     0.02235     0.00358    -0.72675    -0.05314 ;

   sigma     mu(1)
  -0.030    -0.033
  -0.029    -0.033
  -0.028    -0.032
  -0.027    -0.030
  -0.026    -0.027
  -0.025    -0.023
  -0.024    -0.019
  -0.023    -0.014
  -0.022    -0.009
  -0.021    -0.005
  -0.020     0.000
  -0.019     0.003
  -0.018     0.006
  -0.017     0.007
  -0.016     0.007
  -0.015     0.006
  -0.014     0.003
  -0.013     0.000
  -0.012    -0.004
  -0.011    -0.008
  -0.010    -0.012
  -0.009    -0.016
  -0.008    -0.020
  -0.007    -0.025
  -0.006    -0.028
  -0.005    -0.031
  -0.004    -0.033
  -0.003    -0.034
  -0.002    -0.034
  -0.001    -0.034
   0.000    -0.032
   0.001    -0.030
   0.002    -0.028
   0.003    -0.025
   0.004    -0.021
   0.005    -0.017
   0.006    -0.012
   0.007    -0.007
   0.008    -0.002
   0.009     0.003
   0.010    -0.004
   0.011    -0.019
   0.012    -0.045
   0.013    -0.083
   0.014    -0.130
   0.015    -0.184
   0.016    -0.243
   0.017    -0.303
   0.018    -0.365
   0.019    -0.428
   0.020    -0.490
   0.021    -0.552
   0.022    -0.613
   0.023    -0.673
   0.024    -0.732
   0.025    -0.791
   0.026    -0.848
   0.027    -0.904
   0.028    -0.959
   0.029    -1.012
   0.030    -1.064
