
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04029     0.03576     0.07241    -0.01991    -0.52293    -0.60348 ;

   sigma     mu(1)
  -0.030    -0.265
  -0.029    -0.255
  -0.028    -0.243
  -0.027    -0.231
  -0.026    -0.218
  -0.025    -0.203
  -0.024    -0.188
  -0.023    -0.171
  -0.022    -0.154
  -0.021    -0.136
  -0.020    -0.118
  -0.019    -0.099
  -0.018    -0.081
  -0.017    -0.063
  -0.016    -0.046
  -0.015    -0.031
  -0.014    -0.018
  -0.013    -0.009
  -0.012    -0.002
  -0.011     0.000
  -0.010     0.000
  -0.009    -0.003
  -0.008    -0.007
  -0.007    -0.014
  -0.006    -0.021
  -0.005    -0.027
  -0.004    -0.033
  -0.003    -0.037
  -0.002    -0.040
  -0.001    -0.042
   0.000    -0.042
   0.001    -0.042
   0.002    -0.040
   0.003    -0.037
   0.004    -0.033
   0.005    -0.027
   0.006    -0.020
   0.007    -0.012
   0.008    -0.003
   0.009     0.008
   0.010     0.018
   0.011     0.027
   0.012     0.033
   0.013     0.033
   0.014     0.024
   0.015     0.003
   0.016    -0.031
   0.017    -0.075
   0.018    -0.127
   0.019    -0.183
   0.020    -0.241
   0.021    -0.299
   0.022    -0.358
   0.023    -0.416
   0.024    -0.474
   0.025    -0.532
   0.026    -0.588
   0.027    -0.643
   0.028    -0.697
   0.029    -0.750
   0.030    -0.802
