
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02479    -0.02163    -0.04064    -0.00465     0.33041    -0.74885 ;

   sigma     mu(1)
  -0.030    -1.431
  -0.029    -1.364
  -0.028    -1.297
  -0.027    -1.228
  -0.026    -1.158
  -0.025    -1.087
  -0.024    -1.015
  -0.023    -0.942
  -0.022    -0.868
  -0.021    -0.793
  -0.020    -0.718
  -0.019    -0.642
  -0.018    -0.566
  -0.017    -0.489
  -0.016    -0.413
  -0.015    -0.337
  -0.014    -0.262
  -0.013    -0.189
  -0.012    -0.119
  -0.011    -0.057
  -0.010    -0.007
  -0.009     0.026
  -0.008     0.041
  -0.007     0.036
  -0.006     0.026
  -0.005     0.015
  -0.004     0.004
  -0.003    -0.007
  -0.002    -0.018
  -0.001    -0.029
   0.000    -0.038
   0.001    -0.047
   0.002    -0.055
   0.003    -0.062
   0.004    -0.068
   0.005    -0.073
   0.006    -0.076
   0.007    -0.078
   0.008    -0.079
   0.009    -0.079
   0.010    -0.079
   0.011    -0.078
   0.012    -0.076
   0.013    -0.073
   0.014    -0.068
   0.015    -0.063
   0.016    -0.056
   0.017    -0.049
   0.018    -0.040
   0.019    -0.030
   0.020    -0.020
   0.021    -0.008
   0.022     0.005
   0.023     0.019
   0.024     0.035
   0.025     0.051
   0.026     0.068
   0.027     0.087
   0.028     0.106
   0.029     0.127
   0.030     0.149
