
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.09564    -0.16761     0.06887     0.02043    -0.28692    -0.20761 ;

   sigma     mu(1)
  -0.030     0.097
  -0.029     0.102
  -0.028     0.109
  -0.027     0.117
  -0.026     0.127
  -0.025     0.137
  -0.024     0.149
  -0.023     0.161
  -0.022     0.174
  -0.021     0.187
  -0.020     0.199
  -0.019     0.209
  -0.018     0.216
  -0.017     0.218
  -0.016     0.215
  -0.015     0.206
  -0.014     0.192
  -0.013     0.173
  -0.012     0.151
  -0.011     0.128
  -0.010     0.104
  -0.009     0.080
  -0.008     0.056
  -0.007     0.033
  -0.006     0.011
  -0.005    -0.010
  -0.004    -0.030
  -0.003    -0.049
  -0.002    -0.066
  -0.001    -0.083
   0.000    -0.098
   0.001    -0.112
   0.002    -0.124
   0.003    -0.135
   0.004    -0.145
   0.005    -0.154
   0.006    -0.161
   0.007    -0.167
   0.008    -0.172
   0.009    -0.175
   0.010    -0.182
   0.011    -0.188
   0.012    -0.193
   0.013    -0.197
   0.014    -0.201
   0.015    -0.203
   0.016    -0.205
   0.017    -0.205
   0.018    -0.205
   0.019    -0.204
   0.020    -0.202
   0.021    -0.198
   0.022    -0.194
   0.023    -0.189
   0.024    -0.183
   0.025    -0.175
   0.026    -0.167
   0.027    -0.157
   0.028    -0.147
   0.029    -0.135
   0.030    -0.122
