
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02798    -0.01023     0.02932     0.00840    -0.26377    -0.26953 ;

   sigma     mu(1)
  -0.030    -0.476
  -0.029    -0.447
  -0.028    -0.418
  -0.027    -0.388
  -0.026    -0.356
  -0.025    -0.324
  -0.024    -0.292
  -0.023    -0.259
  -0.022    -0.226
  -0.021    -0.193
  -0.020    -0.161
  -0.019    -0.131
  -0.018    -0.103
  -0.017    -0.078
  -0.016    -0.056
  -0.015    -0.039
  -0.014    -0.026
  -0.013    -0.017
  -0.012    -0.012
  -0.011    -0.009
  -0.010    -0.008
  -0.009    -0.008
  -0.008    -0.010
  -0.007    -0.014
  -0.006    -0.018
  -0.005    -0.022
  -0.004    -0.025
  -0.003    -0.027
  -0.002    -0.029
  -0.001    -0.030
   0.000    -0.031
   0.001    -0.031
   0.002    -0.030
   0.003    -0.029
   0.004    -0.027
   0.005    -0.025
   0.006    -0.022
   0.007    -0.018
   0.008    -0.014
   0.009    -0.009
   0.010    -0.008
   0.011    -0.008
   0.012    -0.009
   0.013    -0.011
   0.014    -0.014
   0.015    -0.019
   0.016    -0.025
   0.017    -0.032
   0.018    -0.041
   0.019    -0.050
   0.020    -0.060
   0.021    -0.071
   0.022    -0.081
   0.023    -0.091
   0.024    -0.101
   0.025    -0.110
   0.026    -0.119
   0.027    -0.127
   0.028    -0.134
   0.029    -0.140
   0.030    -0.146
