
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.01684     0.02376     0.01678    -0.01536    -0.20231    -0.61199 ;

   sigma     mu(1)
  -0.030    -0.754
  -0.029    -0.716
  -0.028    -0.678
  -0.027    -0.638
  -0.026    -0.598
  -0.025    -0.557
  -0.024    -0.516
  -0.023    -0.474
  -0.022    -0.431
  -0.021    -0.389
  -0.020    -0.347
  -0.019    -0.304
  -0.018    -0.263
  -0.017    -0.222
  -0.016    -0.182
  -0.015    -0.144
  -0.014    -0.109
  -0.013    -0.078
  -0.012    -0.051
  -0.011    -0.030
  -0.010    -0.014
  -0.009    -0.004
  -0.008     0.002
  -0.007     0.000
  -0.006    -0.005
  -0.005    -0.008
  -0.004    -0.012
  -0.003    -0.015
  -0.002    -0.018
  -0.001    -0.020
   0.000    -0.022
   0.001    -0.023
   0.002    -0.024
   0.003    -0.024
   0.004    -0.023
   0.005    -0.022
   0.006    -0.020
   0.007    -0.017
   0.008    -0.013
   0.009    -0.008
   0.010    -0.006
   0.011    -0.004
   0.012    -0.005
   0.013    -0.008
   0.014    -0.015
   0.015    -0.027
   0.016    -0.046
   0.017    -0.071
   0.018    -0.101
   0.019    -0.136
   0.020    -0.174
   0.021    -0.215
   0.022    -0.256
   0.023    -0.299
   0.024    -0.341
   0.025    -0.383
   0.026    -0.425
   0.027    -0.466
   0.028    -0.506
   0.029    -0.546
   0.030    -0.584
