
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.06161    -0.08057     0.05539    -0.00204    -0.03717    -0.01129 ;

   sigma     mu(1)
  -0.030     0.708
  -0.029     0.664
  -0.028     0.621
  -0.027     0.580
  -0.026     0.540
  -0.025     0.502
  -0.024     0.465
  -0.023     0.429
  -0.022     0.394
  -0.021     0.361
  -0.020     0.329
  -0.019     0.298
  -0.018     0.269
  -0.017     0.241
  -0.016     0.214
  -0.015     0.188
  -0.014     0.163
  -0.013     0.140
  -0.012     0.117
  -0.011     0.096
  -0.010     0.076
  -0.009     0.057
  -0.008     0.039
  -0.007     0.023
  -0.006     0.007
  -0.005    -0.007
  -0.004    -0.020
  -0.003    -0.032
  -0.002    -0.044
  -0.001    -0.053
   0.000    -0.062
   0.001    -0.070
   0.002    -0.076
   0.003    -0.082
   0.004    -0.086
   0.005    -0.089
   0.006    -0.090
   0.007    -0.091
   0.008    -0.090
   0.009    -0.089
   0.010    -0.088
   0.011    -0.087
   0.012    -0.085
   0.013    -0.083
   0.014    -0.080
   0.015    -0.076
   0.016    -0.071
   0.017    -0.066
   0.018    -0.060
   0.019    -0.054
   0.020    -0.046
   0.021    -0.038
   0.022    -0.030
   0.023    -0.020
   0.024    -0.010
   0.025     0.002
   0.026     0.014
   0.027     0.028
   0.028     0.042
   0.029     0.058
   0.030     0.074
