
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.08522    -0.12956     0.05256    -0.00165    -0.07712     0.00312 ;

   sigma     mu(1)
  -0.030     0.826
  -0.029     0.778
  -0.028     0.730
  -0.027     0.685
  -0.026     0.640
  -0.025     0.597
  -0.024     0.555
  -0.023     0.514
  -0.022     0.475
  -0.021     0.437
  -0.020     0.400
  -0.019     0.364
  -0.018     0.330
  -0.017     0.297
  -0.016     0.265
  -0.015     0.234
  -0.014     0.205
  -0.013     0.177
  -0.012     0.149
  -0.011     0.124
  -0.010     0.099
  -0.009     0.075
  -0.008     0.053
  -0.007     0.031
  -0.006     0.011
  -0.005    -0.008
  -0.004    -0.026
  -0.003    -0.043
  -0.002    -0.058
  -0.001    -0.073
   0.000    -0.086
   0.001    -0.099
   0.002    -0.110
   0.003    -0.120
   0.004    -0.128
   0.005    -0.136
   0.006    -0.142
   0.007    -0.148
   0.008    -0.152
   0.009    -0.155
   0.010    -0.162
   0.011    -0.169
   0.012    -0.175
   0.013    -0.181
   0.014    -0.187
   0.015    -0.192
   0.016    -0.196
   0.017    -0.200
   0.018    -0.204
   0.019    -0.207
   0.020    -0.209
   0.021    -0.210
   0.022    -0.210
   0.023    -0.210
   0.024    -0.208
   0.025    -0.206
   0.026    -0.202
   0.027    -0.198
   0.028    -0.192
   0.029    -0.185
   0.030    -0.177
