
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.49916    -0.40655     0.04617     0.00298    -0.28129     0.12295 ;

   sigma     mu(1)
  -0.030     1.330
  -0.029     1.247
  -0.028     1.165
  -0.027     1.085
  -0.026     1.007
  -0.025     0.930
  -0.024     0.854
  -0.023     0.780
  -0.022     0.707
  -0.021     0.636
  -0.020     0.567
  -0.019     0.499
  -0.018     0.432
  -0.017     0.367
  -0.016     0.304
  -0.015     0.242
  -0.014     0.182
  -0.013     0.123
  -0.012     0.065
  -0.011     0.010
  -0.010    -0.045
  -0.009    -0.098
  -0.008    -0.149
  -0.007    -0.199
  -0.006    -0.247
  -0.005    -0.294
  -0.004    -0.339
  -0.003    -0.383
  -0.002    -0.425
  -0.001    -0.466
   0.000    -0.505
   0.001    -0.542
   0.002    -0.579
   0.003    -0.613
   0.004    -0.646
   0.005    -0.678
   0.006    -0.708
   0.007    -0.737
   0.008    -0.764
   0.009    -0.789
   0.010    -0.841
   0.011    -0.893
   0.012    -0.945
   0.013    -0.996
   0.014    -1.048
   0.015    -1.098
   0.016    -1.147
   0.017    -1.196
   0.018    -1.243
   0.019    -1.288
   0.020    -1.333
   0.021    -1.375
   0.022    -1.417
   0.023    -1.457
   0.024    -1.495
   0.025    -1.532
   0.026    -1.568
   0.027    -1.602
   0.028    -1.634
   0.029    -1.665
   0.030    -1.695
