
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.00407    -0.02539    -0.01001    -0.00041    -0.04974    -0.49525 ;

   sigma     mu(1)
  -0.030    -0.831
  -0.029    -0.793
  -0.028    -0.753
  -0.027    -0.712
  -0.026    -0.670
  -0.025    -0.627
  -0.024    -0.582
  -0.023    -0.537
  -0.022    -0.490
  -0.021    -0.441
  -0.020    -0.392
  -0.019    -0.342
  -0.018    -0.292
  -0.017    -0.241
  -0.016    -0.190
  -0.015    -0.141
  -0.014    -0.095
  -0.013    -0.054
  -0.012    -0.021
  -0.011     0.004
  -0.010     0.018
  -0.009     0.025
  -0.008     0.027
  -0.007     0.023
  -0.006     0.018
  -0.005     0.013
  -0.004     0.008
  -0.003     0.004
  -0.002     0.000
  -0.001    -0.005
   0.000    -0.008
   0.001    -0.012
   0.002    -0.015
   0.003    -0.018
   0.004    -0.021
   0.005    -0.023
   0.006    -0.024
   0.007    -0.026
   0.008    -0.026
   0.009    -0.026
   0.010    -0.034
   0.011    -0.042
   0.012    -0.051
   0.013    -0.061
   0.014    -0.072
   0.015    -0.083
   0.016    -0.095
   0.017    -0.107
   0.018    -0.119
   0.019    -0.131
   0.020    -0.142
   0.021    -0.154
   0.022    -0.164
   0.023    -0.174
   0.024    -0.183
   0.025    -0.192
   0.026    -0.199
   0.027    -0.206
   0.028    -0.211
   0.029    -0.215
   0.030    -0.219
