
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.01648     0.02401     0.01642    -0.01639    -0.18036    -0.63717 ;

   sigma     mu(1)
  -0.030    -0.755
  -0.029    -0.720
  -0.028    -0.684
  -0.027    -0.647
  -0.026    -0.609
  -0.025    -0.570
  -0.024    -0.530
  -0.023    -0.489
  -0.022    -0.448
  -0.021    -0.406
  -0.020    -0.363
  -0.019    -0.320
  -0.018    -0.277
  -0.017    -0.234
  -0.016    -0.192
  -0.015    -0.152
  -0.014    -0.114
  -0.013    -0.080
  -0.012    -0.051
  -0.011    -0.028
  -0.010    -0.011
  -0.009     0.000
  -0.008     0.005
  -0.007     0.003
  -0.006    -0.002
  -0.005    -0.006
  -0.004    -0.010
  -0.003    -0.014
  -0.002    -0.017
  -0.001    -0.020
   0.000    -0.022
   0.001    -0.023
   0.002    -0.024
   0.003    -0.024
   0.004    -0.024
   0.005    -0.022
   0.006    -0.020
   0.007    -0.016
   0.008    -0.012
   0.009    -0.007
   0.010    -0.004
   0.011    -0.003
   0.012    -0.003
   0.013    -0.006
   0.014    -0.014
   0.015    -0.026
   0.016    -0.044
   0.017    -0.069
   0.018    -0.098
   0.019    -0.132
   0.020    -0.169
   0.021    -0.207
   0.022    -0.247
   0.023    -0.287
   0.024    -0.327
   0.025    -0.367
   0.026    -0.406
   0.027    -0.444
   0.028    -0.482
   0.029    -0.519
   0.030    -0.555
