
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02698     0.05027    -0.04137    -0.00222     0.33394    -0.56291 ;

   sigma     mu(1)
  -0.030    -1.400
  -0.029    -1.336
  -0.028    -1.272
  -0.027    -1.206
  -0.026    -1.140
  -0.025    -1.073
  -0.024    -1.006
  -0.023    -0.938
  -0.022    -0.871
  -0.021    -0.803
  -0.020    -0.736
  -0.019    -0.668
  -0.018    -0.601
  -0.017    -0.534
  -0.016    -0.467
  -0.015    -0.400
  -0.014    -0.334
  -0.013    -0.268
  -0.012    -0.204
  -0.011    -0.143
  -0.010    -0.089
  -0.009    -0.046
  -0.008    -0.019
  -0.007    -0.015
  -0.006    -0.018
  -0.005    -0.022
  -0.004    -0.026
  -0.003    -0.031
  -0.002    -0.035
  -0.001    -0.038
   0.000    -0.041
   0.001    -0.043
   0.002    -0.044
   0.003    -0.044
   0.004    -0.042
   0.005    -0.040
   0.006    -0.036
   0.007    -0.031
   0.008    -0.025
   0.009    -0.018
   0.010    -0.009
   0.011     0.000
   0.012     0.012
   0.013     0.024
   0.014     0.037
   0.015     0.052
   0.016     0.068
   0.017     0.085
   0.018     0.103
   0.019     0.123
   0.020     0.143
   0.021     0.165
   0.022     0.188
   0.023     0.211
   0.024     0.236
   0.025     0.263
   0.026     0.290
   0.027     0.318
   0.028     0.348
   0.029     0.378
   0.030     0.410
